cname,phone,website,email,url
GP Koirala Memorial College,01-4579115,http://www.gpkmc.edu.np,gpkoiralacollege@gmail.com,https://www.collegesnepal.com/gp-koirala-memorial-college/
Gramin Adarsha Multiple Campus,01-4354124,http://graminadarsha.com/,info@graminadarsha.com,https://www.collegesnepal.com/gramin-adarsha-multiple-campus/
Grammar School and College,01-4611213,http://grammarschool.edu.np/,grammarschool.edu@gmail.com,https://www.collegesnepal.com/grammar-school-and-college/
Greenfield National College,01-5237317,www.greenfield.edu.np,info@greenfield.edu.np,https://www.collegesnepal.com/greenfield-national-college/
Guinness International Education Foundation HSS,01-5168046,http://guinness.edu.np,guinnessps@gmail.com,https://www.collegesnepal.com/guinness-international-education-foundation-hss/
Gunraj Pathak Memorial Nursing Campus,01-4418768,http://gpmnursing.edu.np,gpmnursing@hotmail.com,https://www.collegesnepal.com/gunraj-pathak-memorial-nursing-campus/
Gupteshwor Campus,067-420145,www.gmckusma.edu.np,info@gmckusma.edu.np,https://www.collegesnepal.com/gupteshwor-campus/
Gupteshwor Mahadev Multiple Campus,061-455677,https://gmmc.edu.np/,gupteshwormmc@gmail.com,https://www.collegesnepal.com/gupteshwor-mahadev-multiple-campus/
Gurukul National College,01-4477142,http://www.gurukulnationalcollege.com/,info@gurukulnationalcollege.com,https://www.collegesnepal.com/gurukul-national-college/
Gyankunj HSS and College,01-4031623,https://www.gyankunjschool.edu.np/,gyankunj@hons.com.np,https://www.collegesnepal.com/gyankunj-hss-and-college/
Gyanodaya College,01-5592019,https://gyanodaya.edu.np/,info@gyanodaya.edu.np,https://www.collegesnepal.com/gyanodaya-college/
Hamro School of Nursing,021-462223,https://hamroschoolofnursing.edu.np/,info@hamroschoolofnursing.edu.np,https://www.collegesnepal.com/hamro-school-of-nursing/
Hams Nursing College,01-4377404,https://hamshospital.com/service/hams-nursing-college/,info@hamshospital.com,https://www.collegesnepal.com/hams-nursing-college/
Hari Khetan Bahumukhi Campus,051-522961,https://hkmc.edu.np/,info@khmc.edu.np,https://www.collegesnepal.com/hari-khetan-bahumukhi-campus/
Heartland Academy,977 - 01-523 7058,https://www.heartlandacademy.edu.np/,info@heartlandacademy.edu.np,https://www.collegesnepal.com/heartland-academy/
Herald College Kathmandu,01-5970120,https://heraldcollege.edu.np,info@heraldcollege.edu.np,https://www.collegesnepal.com/herald-college-kathmandu/
Herald International College,01-4989375,https://www.heraldintlcollege.edu.np,contact@heraldintlcollege.edu.np,https://www.collegesnepal.com/herald-international-college/
Hetauda Campus,057-520974,https://hetaudacampus.edu.np/,hetaudacampus021@gmail.com,https://www.collegesnepal.com/hetauda-campus/
Hetauda School Of Management and Social Science,057-524701,https://hsm.edu.np/,info@hsm.edu.np,https://www.collegesnepal.com/hetauda-school-of-management-and-social-science/
Himalaya college of engineering,01-5540555,http://www.hcoe.edu.np,info@hcoe.edu.np,https://www.collegesnepal.com/himalaya-college-of-engineering/
Himalaya Darshan Campus,021-472771,https://himalayacollege.edu.np/con,himalyadarshan5@gmail.com,https://www.collegesnepal.com/himala-darshan-campus/
Himalaya International Model Secondary School,01-4910580,https://hims.edu.np/,info@hims.edu.np,https://www.collegesnepal.com/himalaya-international-model-secondary-school/
Himalaya Kiran Public Campus,029-561165,https://himalayakpc.edu.np/,info@himalayakpc.edu.np,https://www.collegesnepal.com/himalaya-kiran-multiple-campus/
Himalayan Academy,01-4353065,https://himalayanacademy.edu.np/,Himalayan.1995@gmail.com,https://www.collegesnepal.com/himalayan-academy/
Himalayan College for Learning Excellence,01-4471579,https://hicolecollege.edu.np/,info@hicolecollege.edu.np,https://www.collegesnepal.com/himalayan-college-for-learning-excellence/
Himalayan College of Agricultural Sciences and Technology,01- 5195341,www.hicast.edu.np,infohicast@gmail.com,https://www.collegesnepal.com/himalayan-college-of-agricultural-sciences-technology/
Himalayan College of Learning Excellence,01-4471759,https://hicolecollege.edu.np/,hicolecollege@gmail.com,https://www.collegesnepal.com/himalayan-college-of-learning-excellence/
Himalayan College of Management,01-4522221,https://www.hcm.edu.np/,info@hcm.edu.np,https://www.collegesnepal.com/himalayan-college-of-management/
Himalayan Institute of Science and Technology,015202726,http://www.hist.edu.np/,info@hist.edu.np,https://www.collegesnepal.com/himalayan-institute-of-science-and-technology/
Himalayan Whitehouse International College,01-5322718,https://whitehousecmt.edu.np/,info@whitehousecmt.edu.np,https://www.collegesnepal.com/himalayan-whitehouse-international-college/
Himchhaya College,078-503275,https://himchhaya.edu.np/,himchhaya.ag.gaindakot@gmail.com,https://www.collegesnepal.com/himchhaya-college/
HIST Engineering College,01-5202726,http://www.hist.edu.np,info@hist.edu.np,https://www.collegesnepal.com/hist-engineering-college/
HOPE International College,01-5171268,www.hopecollege.edu.np,info@hopecollege.edu.np,https://www.collegesnepal.com/hope-international-college/
Hrit Academy,01-4972111,https://hritacademy.edu.np/,info@hritacademy.edu.np,https://www.collegesnepal.com/hrit-academy/
ICHM Nepal / International College of Hospitality Management,01-4113789,www.ichm.edu.np/,info@ichm.edu.np,https://www.collegesnepal.com/ichm-nepal-international-college-of-hospitality-management/
IEC College of Art and Fashion,01-4432178,www.ieccollege.com.np,info@ieccollege.com.np,https://www.collegesnepal.com/iec-college-of-art-fashion/
Indreni College,056-590346,https://www.indrenicollege.edu.np/,info@indrenicollege.edu.np,https://www.collegesnepal.com/indreni-college/
Indreswor Campus,011-441399,https://indreshworcampus.edu.np/,info@indreshworcampus.edu.np,https://www.collegesnepal.com/indreswor-campus/
Infomax College of Information Technology and Management,061-585735,https://infomaxcollege.edu.np/,info@infomaxcollege.edu.np,https://www.collegesnepal.com/infomax-college-of-information-technology-and-management/
Insight Vision Secondary School,01-4542357,https://www.tivs.edu.np/,tivhss1992@gmail.com,https://www.collegesnepal.com/insight-vision-secondary-school/
"Institute of Advanced Communication, Education and Research",01-4471915,iacer.edu.np,info@iacer.edu.np,https://www.collegesnepal.com/institute-of-advanced-communication-education-and-research/
Institute of Banking and Management Studies,01-5261660,ibmstudies.com.np,ibmstudies@gmail.com,https://www.collegesnepal.com/institute-of-banking-management-studies/
Institute of Engineering,01-5521531,https://ioe.tu.edu.np/,info@ioe.tu.edu.np,https://www.collegesnepal.com/ioe-institute-of-engineering/
Institute of International Management Science (IIMS College),01- 4534 088,https://iimscollege.edu.np/,info@iimscollege.edu.np,https://www.collegesnepal.com/institute-of-international-management-science-iims-college/
Institute of Management Studies,015904254,https://ims.edu.np/,ims@ims.edu.np,https://www.collegesnepal.com/institute-of-management-studies/
Institute of Open Learning,01-4487086,https://iol.edu.np/,dilkumarthakuri@hotmail.com,https://www.collegesnepal.com/institute-of-open-learning/
International Center for Academic College of Distance Education and Online Studies (ICA),01-4579685,ica.edu.np,support@ica.edu.np,https://www.collegesnepal.com/international-center-for-academic-college-of-distance-education-and-online-studies-ica/
International School of Management and Technology (ISMT),01-4112122,https://www.ismt.edu.np,info@ismt.edu.np,https://www.collegesnepal.com/ismt-college/
International School of Tourism and Hotel Management (IST),01-4534350,ist.org.np,info@ist.org.np,https://www.collegesnepal.com/international-school-of-tourism-and-hotel-management/
Islington College,01-5970012,https://islington.edu.np/,info@islington.edu.np,https://www.collegesnepal.com/islington-college/
ISMT College Biratnagar,021-420141,https://ismt.edu.np,biratnagar@ismt.edu.np,https://www.collegesnepal.com/ismt-college-biratnagar/
ISMT College Chitwan,056-515146,https://www.ismt.edu.np,chitwan@ismt.edu.np,https://www.collegesnepal.com/ismt-college-chitwan/
ISMT College Kathmandu,01-4112159,www.ismt.edu.np,info@ismt.edu.np,https://www.collegesnepal.com/ismt-college-kathmandu/
ISMT College Pokhara,061-433826,https://www.ismt.edu.np,info@ismt.edu.np,https://www.collegesnepal.com/ismt-college-pokhara/
Itahari Namuna College,025-585701,https://namunacollege.edu.np/,itaharinamunacollege@gmail.com,https://www.collegesnepal.com/itahari-namuna-college/
Jagat Mandir Secondary School,01-4488290,https://jagatmandir.edu.np/,jagatmandir1988@gmail.com,https://www.collegesnepal.com/jagat-mandir-secondary-school/
Jana Adarsha Campus,01-5093033,https://www.jamc.edu.np/,info@jamc.edu.np,https://www.collegesnepal.com/jana-adarsha-campus/
Jana Adarsha Multiple Campus,056 419023,http://www.jamc.edu.np/,info@jamc.edu.np,https://www.collegesnepal.com/jana-adarsha-multiple-campus/
Jana Bhawana Campus,01-5570512,janabhawana.edu.np,Janabhawanacampus@gmail.com,https://www.collegesnepal.com/jana-bhawana-campus/
Jana Jyoti Campus,099-522222,https://www.janjyoticampus.edu.np/,info@janjyoticampus.edu.np,https://www.collegesnepal.com/jana-jyoti-campus/
Jana Jyoti Secondary School,9857064697,http://janajyotimavipallikot.edu.np/,janajyotimavi99@gmail.com,https://www.collegesnepal.com/jana-jyoti-secondary-school/
Jana Maitri Foundation Institute of Medical Science,01-4366301,www.janamaitrihospital.com,jmthos@yahoo.com,https://www.collegesnepal.com/jana-maitri-foundation-institute-of-medical-science/
Janajyoti Multiple Campus Sarlahi,046-501436,http://jjmc.edu.np/,jmc.lalbandi@gmail.com,https://www.collegesnepal.com/janajyoti-multiple-campus-sarlahi/
Janak Secondary School,078501112,https://jhss.edu.np/,info@jhss.edu.np,https://www.collegesnepal.com/janak-secondary-school/
Janakalyan Secondary School,065-570100,https://janakalyans.edu.np/,janakalyanschool10@gmail.com,https://www.collegesnepal.com/janakalyan-secondary-school/
Janaki Medical College,014-435957,"www.jmcnepal.com,www.jmcnepal.org","info@jmcnepal.com, info@jmcnepal.org",https://www.collegesnepal.com/janaki-medical-college/
Janakpur Engineering College,01-5091615,www.jec.edu.np/,info@jec.edu.np,https://www.collegesnepal.com/janakpur-engineering-college/
Janamaitri Foundation Institute of Health Sciences,01-5912723 �,www.lajf.edu.np,info@lajf.edu.np,https://www.collegesnepal.com/janamaitri-foundation-institute-of-health-sciences/
Janamaitri Multiple Campus,"+977 15386283 , +977 1 5377202",https://janamaitri.edu.np,info@janamaitri.edu.np,https://www.collegesnepal.com/janamaitri-multiple-campus/
Janapriya Multiple Campus,061-522287,www.janapriya.edu.np,office@janapriya.edu.np,https://www.collegesnepal.com/janapriya-multiple-campus/
Janasewa Secondary School,01-4331982,http://janasewa.edu.np/,info@janasewa.edu.np,https://www.collegesnepal.com/janasewa-secondary-school/
Janata Bahumukhi Campus,025-580064,https://jantacampusith.edu.np/,jmcith@gmail.com,https://www.collegesnepal.com/janata-bahumukhi-campus/
Jaya Multiple Campus,01-5134140,http://jdmmc.com.np,info@jdmmc.com.np,https://www.collegesnepal.com/jaya-multiple-campus/
Jibika College of Agicultural Science,025-421165,https://www.jibika.edu.np/,jcas.lth@gmail.com,https://www.collegesnepal.com/jibika-college-agricultural-science/
Jiri Technical School,977 049 400063,https://jiritechnicalschool.com/,jiritechnicalschool@yahoo.com,https://www.collegesnepal.com/jiri-technical-school/
Jitpur Secondary School,01-2090291,https://www.jitpursecondaryschool.edu.np,jitpur213@gmail.com,https://www.collegesnepal.com/jitpur-secondary-school/
Jubilant College,01-4281572,jubilant.com.np,info@jubilantcollege.edu.np,https://www.collegesnepal.com/jubilant-college/
K and K International College,01- 4497515,www.kandk.edu.np,info@kandk.edu.np,https://www.collegesnepal.com/k-k-international-college/
Kadambari Memorial College of Science and Management,01-4795051,https://kadambari.edu.np/contact/,info@kadambari.edu.np,https://www.collegesnepal.com/kadambari-memorial-college-of-science-and-management/
Kailali Multiple Campus,091-521223,kailalicampus.edu.np,kmckailali@gmail.com,https://www.collegesnepal.com/kailali-mulitple-campus/
Kailali Multiple Campusss,091-521223,www.kailalicampus.edu.np,info@kailalicampus.edu.np,https://www.collegesnepal.com/kailali-multiple-campus/
Kailpal Academy for Health Science,081-534017,https://kailpal.edu.np/,kailpal2060@gmail.com,https://www.collegesnepal.com/kailpal-academy-for-health-science/
Kalika Multiple Campus,061-430385,https://kmcpokhara.edu.np/,info@kmcpokhara.edu.np,https://www.collegesnepal.com/kalika-multiple-campus/
Kamal Netra Chunna Muna Secondary School,01-4490647,https://kamalnetrachhunamuna.edu.np/,"kncmss45@gmail.com, contact@kamalnetrachhunamuna.edu.np",https://www.collegesnepal.com/kamal-netra-chunna-muna-secondary-school/
Kamana International College,01-4880422,http://www.kic.edu.np,info@kic.edu.np,https://www.collegesnepal.com/kamana-international-college/
Kanjirowa National Secondary School,01-5100433,https://kanjisl.edu.np,kanjisl@mail.com.np,https://www.collegesnepal.com/kanjirowa-national-secondary-school/
Kankai Multiple Campus,023-552153,https://kanakaicampus.edu.np/,Kanakai.campus47@gmail.com,https://www.collegesnepal.com/kankai-multiple-campus/
Kantipur Academy of Health Science,01-4117920,https://www.kantipuracademy.edu.np/,info@kantipuracademy.com.np,https://www.collegesnepal.com/kantipur-academy-of-health-science/
Kantipur Campus,01-4450804,https://kantipurcampus.edu.np/,info@kantipurcampus.edu.np,https://www.collegesnepal.com/kantipur-campus/
Kantipur City College,"01-4530239, 4537093",www.kcc.edu.np/,admin@kcc.edu.np,https://www.collegesnepal.com/kantipur-city-college/
Kantipur College of Business And Management Studies,01-4480183,www.kantipur.edu.np,info@kand.edu.np,https://www.collegesnepal.com/kantipur-college-of-business-and-management-studies/
Kantipur College of Management and Information Technology(KCMIT),01-4579939,www.kcmit.edu.np,kcmitcollege@gmail.com,https://www.collegesnepal.com/kantipur-college-of-management-and-information-technology-kcmit/
Kantipur College of Medical Science,01-4279723,www.kcms.edu.np,info@kcms.edu.np,https://www.collegesnepal.com/kantipur-college-of-medical-science/
Kantipur Community Health Services,01-4380864,www.kchs.edu.np,info@kchs.edu.np,https://www.collegesnepal.com/kantipur-community-health-services/
Kantipur Dental College,01-4385911,kantipurdental.edu.np,kdchktm@gmail.com,https://www.collegesnepal.com/kantipur-dental-college/
Kantipur Engineering College,01-5571004,www.kec.edu.np,admin@kec.edu.np,https://www.collegesnepal.com/kantipur-engineering-college/
Kantipur Hotel Management and Interior Design College,01-4780564,www.kantipurinternational.edu.np,khmc@wlink.com.np,https://www.collegesnepal.com/kantipur-hotel-management-and-interior-design-college/
Kantipur International College,01-4780564,www.kantipurinternational.edu.np,kiccollege2000@gmail.com,https://www.collegesnepal.com/kantipur-international-college/
Kantipur Valley College,01-5538233,www.kvc.com.np,info@kvc.com.np,https://www.collegesnepal.com/kantipur-valley-college/
Kanya Campus,061 522256,http://www.kanyacampus.edu.np,kcpokhara2048@gmail.com,https://www.collegesnepal.com/kanya-campus/
Kanya Mandir Secondary School,01-4263960,https://kanyamandirschool.edu.np/,kanyamandir@gmail.com,https://www.collegesnepal.com/kanya-mandir-secondary-school/
Kapilvastu Multiple Campus,076-560181,https://kmctlw.edu.np/,kmckpl@gmail.com,https://www.collegesnepal.com/kapilvastu-multiple-campus/
Karnali Academy of Health Science,015-170622,http://www.kahs.edu.np,info@kahs.edu.np,https://www.collegesnepal.com/karnali-academy-of-health-science/
Karnali College of Health Sciences,01-4470205,www.karnalicollege.edu.np,info@karnalicollege.edu.np,https://www.collegesnepal.com/karnali-college-of-health-sciences/
Karnali Technical School,9858322055,https://kts.edu.np/,kts.jumla.np@gmail.com,https://www.collegesnepal.com/karnali-technical-school/
Kasthamandap School of Public Affairs Management,01-4486571,kaspam.edu.np,info@kaspam.edu.np,https://www.collegesnepal.com/kasthamandap-school-of-public-affairs-management/
Kasturi College,025-580550,https://college.kasturiacademy.com/,kasturicollege@yahoo.com,https://www.collegesnepal.com/kasturi-college/
Kathford International College of Engineering and Management,"01-5186046, 01-5186112",https://www.kathford.edu.np,admission@kathford.edu.np,https://www.collegesnepal.com/kathford-college-of-engineering-and-management/
Kathmandu BernHardt College,"01-5237330, 01-5237361",https://kbc.edu.np/,ktmbernhardt@kbc.edu.np,https://www.collegesnepal.com/kathmandu-bernhardt-college/
Kathmandu Bernhardt Secondary School,01-5187106,bernhardt.edu.np,info@bernhardt.edu.np,https://www.collegesnepal.com/kathmandu-bernhardt-secondary-school/
Kathmandu Business Campus,01-5159255,kbcampus.edu.np,info@kbcampus.edu.np,https://www.collegesnepal.com/kathmandu-business-campus/
Kathmandu College of Central State,01-4278342,https://www.kccs.edu.np/,info@kccs.edu.np,https://www.collegesnepal.com/kathmandu-college-of-central-state/
Kathmandu College of Management,01-5201997,www.kcm.edu.np,kcm@kcm.edu.np,https://www.collegesnepal.com/kathmandu-college-of-management/
Kathmandu College of Technology,01-6638497,https://kct.edu.np/,info@kct.edu.np,https://www.collegesnepal.com/kathmandu-college-of-technology/
Kathmandu Don Bosco College,014-430025,https://kdbc.edu.np/,info@kdbc.edu.np,https://www.collegesnepal.com/kathmandu-don-bosco-college/
Kathmandu Engineering College,01-4284902,keckist.edu.np,cit@ioe.edu.np,https://www.collegesnepal.com/kathmandu-engineering-college/
Kathmandu Forestry College,01-5147211,www.kafcol.edu.np,kafcol@wlink.com.np,https://www.collegesnepal.com/kathmandu-forestry-college/
Kathmandu Institute of Applied Sciences,01-6924204,www.kias.org.np,info@kias.org.np,https://www.collegesnepal.com/kathmandu-institute-of-applied-sciences/
Kathmandu Institute Of Technology,01-4354255,www.kit.edu.np,info@kit.edu.np,https://www.collegesnepal.com/kathmandu-institute-of-technology/
Kathmandu Medical College,01-4469064,www.kmc.edu.np,info@kmc.edu.np,https://www.collegesnepal.com/kathmandu-medical-college/
Kathmandu Model College,01-5201331,www.kathmandumodelcollege.edu.np/,info@ktmmodelcollege.edu.np,https://www.collegesnepal.com/kathmandu-model-college/
Kathmandu Model Higher Secondary School,01-5358915,www.ktmmodelcollege.edu.np,info@ktmmodelcollege.edu.np,https://www.collegesnepal.com/kathmandu-model-higher-secondary-school/
"Kathmandu Model Hospital School of Nursing, PHECT",01-6212922,www.phectnepal.org,kamhson@wlink.com.np,https://www.collegesnepal.com/kathmandu-model-hospital-school-of-nursing-phect/
Kathmandu Model Secondary School,01-5201331,https://kmclalitpur.edu.np/,info@kmclalitpur.edu.np,https://www.collegesnepal.com/kathmandu-model-secondary-school/
Kathmandu National College,01-4794883,https://kncktm.edu.np/,info@kncktm.edu.np,https://www.collegesnepal.com/kathmandu-national-college/
Kathmandu School of Law,01-6634455,https://www.ksl.edu.np/,info@ksl.edu.np,https://www.collegesnepal.com/kathmandu-school-of-law/
Kathmandu Shiksha Campus,01-4311843,http://ksc.edu.np,kscrmc13@gmail.com,https://www.collegesnepal.com/kathmandu-shiksha-campus/
Kathmandu University - Centre for Art and Design,01-4650704,kuart.edu.np,kusoa@ku.edu.np,https://www.collegesnepal.com/kathmandu-university-centre-for-art-and-design/
Kathmandu University - Centre for Buddhist Studies,01-4483575,http://cbs.edu.np,info@cbs.edu.np,https://www.collegesnepal.com/kathmandu-university-centre-for-buddhist-studies/
Kathmandu University Department of Biotechnology,011-415100,http://biot.ku.edu.np/,biot_hod@ku.edu.np,https://www.collegesnepal.com/kathmandu-university-department-of-biotechnology/
Kathmandu University School of Engineering,+977-11-415100,https://soe.ku.edu.np/,soe_office@ku.edu.np,https://www.collegesnepal.com/kathmandu-university-school-of-engineering/
Kathmandu University School of law,011-490735,http://sol.ku.edu.np/,kusl@ku.edu.np,https://www.collegesnepal.com/kathmandu-university-school-of-law/
Kathmandu University School of Management,01-5186029,www.kusom.edu.np,info@kusom.edu.np,https://www.collegesnepal.com/kusom/
Kathmandu University School of Medical Science,011-490577,www.kusms.edu.np,kusms@ku.edu.np,https://www.collegesnepal.com/kathmandu-university-school-of-medical-science/
Kathmandu University-School of Science,01-1415200,https://sos.ku.edu.np/,sos_dean@ku.edu.np,https://www.collegesnepal.com/kathmandu-university-school-of-science/
Kathmandu Valley College,01-4271562,https://kvc.edu.np/college/,info@kvc.edu.np,https://www.collegesnepal.com/kathmandu-valley-college/
Kathmandu Valley Higher Secondary School,01-4016308,http://www.kvhss.edu.np/,info@kvhss.edu.np,https://www.collegesnepal.com/kathmandu-valley-higher-secondary-school/
Kavre Multiple Campus,011-661133,http://www.kavrecampus.edu.np,info@kavrecampus.edu.np,https://www.collegesnepal.com/kavre-multiple-campus/
KFA Business School,01-491414,http://www.kfaltd.com/,info@kfaltd.com,https://www.collegesnepal.com/kfa-business-school/
Khwopa College,01-6610932,https://khwopacollege.edu.np/,info@khwopacollege.edu.np,https://www.collegesnepal.com/Khwopa-college/
Khwopa College of Engineering,01-5120098,https://khwopa.edu.np/,info@khwopa.edu.np,https://www.collegesnepal.com/khwopa-college-engineering/
Khwopa Engineering College,01-5122094,https://www.khec.edu.np/,info@khec.edu.np,https://www.collegesnepal.com/khwopa-college-of-engineering/
Kings College,01-4224520,www.kingscollege.edu.np,info@kingscollege.edu.np,https://www.collegesnepal.com/kings-college/
KIST College,01-4534990,www.kist.edu.np,info@kist.edu.np,https://www.collegesnepal.com/kist-college/
KIST Medical College,01-5201682,www.kistmcth.edu.np,info@kistmcth.edu.np,https://www.collegesnepal.com/kist-medical-college/
KMC National Secondary School,01-5358915,https://ktmmodelcollege.edu.np/,info@ktmmodelcollege.edu.np,https://www.collegesnepal.com/kmc-national-secondary-School/
Knowledge and Wisdom Academy Secondary School,01-4474557,http://www.kandk.edu.np/,info@kandk.edu.np,https://www.collegesnepal.com/knowledge-and-wisdom-academy-secondary-school/
Koshi Health and Science Campus,021-462684,https://koshihealth.edu.np/,khsc.khi@gmail.com,https://www.collegesnepal.com/koshi-health-and-science-campus/
Koshi Health And Science Campus PVT-LTD,021-527616,http://koshihealthcollege.edu.np,info@koshihealthcollege.edu.np,https://www.collegesnepal.com/koshi-health-and-science-campus-pvt-ltd/
Koshi Multiple Campus,021-528537,koshicampus.edu.np,info@koshi.edu.np,https://www.collegesnepal.com/koshi-multiple-campus/
Koshi Saint James College,025-587004,http://www.koshistjames.edu.np/,info@koshistjames.edu.np,https://www.collegesnepal.com/koshi-saint-james-college/
Koteshwor Multiple Campus,01-4155145,www.koteshworcampus.edu.np,"info@koteshworcampus.edu.np, koteshwormc@gmail.com",https://www.collegesnepal.com/koteshwor-multiple-campus/
Krishna Medical and Technical Research Centre,041-525585,http://www.kmtrc.edu.np/Default.aspx,info@kmtrc.edu.np,https://www.collegesnepal.com/krishna-medical-and-technical-research-centre/
Kshitiz International College,071-546270,http://www.kshitizcollege.edu.np/,tpu_g@yahoo.com,https://www.collegesnepal.com/kshitiz-international-college/
KU City College,01-4823066,https://kucity.edu.np/,kucedu@gmail.com,https://www.collegesnepal.com/ku-city-college/
Kumari Awasiya Secondary School,01-4485832,kumari.edu.np,kumariacademy018@gmail.com,https://www.collegesnepal.com/kumari-awasiya-secondary-school/
Kumudini Kunj Secondary School,01-4240068,https://kumudinikunj.edu.np/,kumudinikunj@gmail.com,https://www.collegesnepal.com/kumudini-kunj-secondary-school/
L. R. International College,01-5218188,https://lrischool.edu.np/,info@lrischool.edu.np,https://www.collegesnepal.com/l-r-international-college/
LA Grandee International College,061-523163,www.lagrandee.edu.np,info@lagrandee.edu.np,https://www.collegesnepal.com/la-grandee-international-college/
Laboratory Secondary School,01-4330790,http://laboratoryschoolnepal.com/,ourlabschool@gmail.com,https://www.collegesnepal.com/laboratory-secondary-school/
Lahan Technical School,+977-033-560015,www.lts.edu.np,info@lts.edu.np,https://www.collegesnepal.com/lahan-technical-school/
Laligurans Rastriya College,01-4792414,https://laliguranscollege.edu.np/,info@laliguranscollege.edu.np Quick Enquiry Your name & email address will not be published. Required fields are marked.  Name * Email * Subject *,https://www.collegesnepal.com/laligurans-rastriya-college/
Lalitpur engineering college,01-5260216,www.lec.edu.np,info@lec.edu.np,https://www.collegesnepal.com/lalitpur-engineering-college/
Lalitpur Nursing Campus,01-5524289,www.lnc.org.np,lnc@umn.org.np,https://www.collegesnepal.com/lalitpur-nursing-campus/
Lalitpur Valley College,01-5545852,www.lvc.edu.np,info@lvc.edu.np,https://www.collegesnepal.com/lalitpur-valley-college/
Latinath Secondary School,093-690350,http://latinath.edu.np,info@latinath.edu.np,https://www.collegesnepal.com/latinath-secondary-school/
Learning Realm International School,01-5218188,http://lrischool.edu.np,info@lrischool.edu.np,https://www.collegesnepal.com/learning-realm-international-school/
Liberty College,01-4222612,www.libertycollege.edu.np,info@libertycollege.edu.np,https://www.collegesnepal.com/liberty-college/
Lincoln College,01-4963024,www.lincolncollege.edu.np,info@lincolncollege.edu.np,https://www.collegesnepal.com/lincoln-college/
Little Angels College of Management,01-5250123,htt://lacm.edu.np/,Little Angels College,https://www.collegesnepal.com/little-angels-college-of-management-lacm/
Little Buddha College of Health Sciences,01-4794458,www.littlebuddhacollege.edu.np,info@littlebuddhacollege.edu.np,https://www.collegesnepal.com/little-buddha-college-of-health-science/
Liverpool International College,01-4781230,https://liverpool.edu.np/,info@liverpool.edu.np,https://www.collegesnepal.com/liverpool-international-college/
Lord Buddha Education Foundation (LBEF),01-4411805,https://www.lbef.org/,study@lbef.edu.np,https://www.collegesnepal.com/lord-buddha-educational-foundation/
Lotus Buddhist Academic College,01-5005253,http://lrcnepal.org.np/,info@lrcnepal.org.np,https://www.collegesnepal.com/lotus-buddhist-academic-college/
Loyola International College,01-6223236,www.loyolacollege.edu.np,info@loyolahsschool.edu.np,https://www.collegesnepal.com/loyola-international-college/
LRI College,01-5218188,https://lrischool.edu.np/,info@lrischool.edu.np,https://www.collegesnepal.com/lri-college/
Lumbini Academic College,01-5210186,http://www.laf.edu.np,principal@laf.edu.np,https://www.collegesnepal.com/lumbini-academic-college/
Lumbini Adarsh Degree College,078-540405,www.lumbiniadarsha.edu.np,info@lumbiniadarsha.edu.np,https://www.collegesnepal.com/lumbini-adarsh-degree-college/
Lumbini Banijya Campus,071-410500,http://www.lbc.edu.np/,info@lbc.edu.np,https://www.collegesnepal.com/lumbini-banijya-campus/
Lumbini City College,071-414633,http://lcc.edu.np/,admin@lcc.edu.np,https://www.collegesnepal.com/lumbini-city-college/
Lumbini Commerce Campus,071-410500,https://lbc.edu.np/,info@lbc.edu.np,https://www.collegesnepal.com/lumbini-commerce-campus/
Lumbini Engineering College,071-561030,http://www.lumbini.edu.np#sthash.5PWbMjyq.dpuf,lumbiniec@gmail.com,https://www.collegesnepal.com/lumbini-engineering-college/
Lumbini ICT College,078-502188,https://lict.edu.np/,mailto@lict.edu.np,https://www.collegesnepal.com/lumbini-ict-college/
Lumbini International Academy of Science and Technology,015531883,www.liast.edu.np,liastlalitpur@gmail.com,https://www.collegesnepal.com/lumbini-international-academy-of-science-and-technology/
Lumbini Medical College,075-520840,lmc.edu.np,lumbinimedicalcollege@gmail.com,https://www.collegesnepal.com/lumbini-medical-college/
Madan Bhandari Agriculture Technical School,082-414038,https://mbtcdang.edu.np/,mbtcdang070@gmail.com,https://www.collegesnepal.com/madan-bhandari-agriculture-technical-school/
Madan Bhandari Memorial College,01-5172175,www.mbmc.edu.np,info@mbmc.edu.np,https://www.collegesnepal.com/madan-bhandari-memorial-college/
Madhyabindu Multiple Campus,078-540473,https://www.madhyabindu.edu.np/,info@madhyabindu.edu.np,https://www.collegesnepal.com/madhyabindu-multiple-campus/
Madi Campus,056-692557,https://madicampus.edu.np/,INFO@MADICAMPUS.EDU.NP,https://www.collegesnepal.com/madi-campus/
Mahamanju Shree Secondary School,01-4271592,https://mahamanjushreeschool.edu.np/,info@mahamanjushree.com,https://www.collegesnepal.com/mahamanju-shree-secondary-school/
Mahan Siddhartha High School,01-4114176,https://mahansiddhartha.edu.np/,info@mahansiddhartha.edu.np,https://www.collegesnepal.com/mahan-siddhartha-high-school/
Maharajgunj Medical Campus,01-4522971,https://mmciom.edu.np/contact-us/,maharajgunjcampus@mmciom.edu.np,https://www.collegesnepal.com/maharajgunj-medical-campus/
Maharajgunj Nursing Campus,01-4720178,https://mnc.edu.np/,info@mnc.tu.edu.np,https://www.collegesnepal.com/maharajgunj-nursing-campus/
Mahendra Adarsha Vidhyashram College,01-5554066,https://mav.edu.np/,mavhss2015@yahoo.com,https://www.collegesnepal.com/mahendra-adarsha-vidhyashram-college/
